ticket_id,text,category
1,"Cancel my renewal, I don't want to be charged next month. Please help ASAP.",Cancellation Request
2,"My order is stuck in customs, what should I do? Let me know what you need from me.",Shipping and Delivery
3,My credit card was billed $169 but my plan only costs $19. Please refund the difference. This is quite urgent.,Billing and Payments
4,"The app is extremely slow today, is there an outage? Appreciate any update on this.",Technical Issue
5,My credit card was billed $38 but my plan only costs $18. Please refund the difference. Thanks in advance.,Billing and Payments
6,I forgot my password and the reset email never arrives. Appreciate any update on this.,Account Access
7,"I'm unsubscribing from your service, please confirm cancellation. Thanks in advance.",Cancellation Request
8,Is there a student discount available for your service? Appreciate any update on this.,Product Inquiry
9,The search filter in the mobile app returns results from the wrong category. This is quite urgent.,Bug Report
10,Can I change the shipping address for order #205907 before it ships? Let me know what you need from me.,Shipping and Delivery
11,Two-factor authentication code never gets sent to my phone. Thank you!,Account Access
12,"The app is extremely slow today, is there an outage? Thanks in advance.",Technical Issue
13,Two-factor authentication code never gets sent to my phone. Please help ASAP.,Account Access
14,The calendar widget shows the wrong timezone after daylight savings. This is quite urgent.,Bug Report
15,"Cancel my renewal, I don't want to be charged next month. Thanks in advance.",Cancellation Request
16,My account got locked after too many failed login attempts.,Account Access
17,"My order is stuck in customs, what should I do? Appreciate any update on this.",Shipping and Delivery
18,I keep getting timeout errors when connecting to the server.,Technical Issue
19,The page won't load and just shows a blank white screen. Appreciate any update on this.,Technical Issue
20,I need to change the email address linked to my account. Please help ASAP.,Account Access
21,Tracking says delivered but I never received the package. Please help ASAP.,Shipping and Delivery
22,"The package arrived damaged, several items were broken inside. Thank you!",Shipping and Delivery
23,Requesting cancellation and a refund for the unused period. Appreciate any update on this.,Cancellation Request
24,Does the API support integration with Google Sheets? This is quite urgent.,Product Inquiry
25,"The app is extremely slow today, is there an outage? Let me know what you need from me.",Technical Issue
26,My order #246316 was supposed to arrive yesterday but tracking shows nothing. Appreciate any update on this.,Shipping and Delivery
27,Could you integrate the API with Slack for team updates? Let me know what you need from me.,Feature Request
28,My credit card was billed $161 but my plan only costs $12. Please refund the difference. Please help ASAP.,Billing and Payments
29,your dashboard crashes randomly and I lose all my unsaved work. This is quite urgent.,Technical Issue
30,Requesting cancellation and a refund for the unused period. Thank you!,Cancellation Request
31,the checkout page keeps freezing every time I try to open it. Please help ASAP.,Technical Issue
32,The payment failed but the amount was still deducted from my bank account. Appreciate any update on this.,Billing and Payments
33,I would like to cancel my subscription effective immediately. Thank you!,Cancellation Request
34,What's the difference between the Pro and Enterprise plans?,Product Inquiry
35,Can you add bulk export functionality to my account settings? Thank you!,Feature Request
36,"The app is extremely slow today, is there an outage? Appreciate any update on this.",Technical Issue
37,Requesting cancellation and a refund for the unused period. Please help ASAP.,Cancellation Request
38,It would help to have a mobile notification setting for alerts. Please help ASAP.,Feature Request
39,Can I change the shipping address for order #377370 before it ships?,Shipping and Delivery
40,I forgot my password and the reset email never arrives. Thank you!,Account Access
41,The payment failed but the amount was still deducted from my bank account. This is quite urgent.,Billing and Payments
42,"I'm unsubscribing from your service, please confirm cancellation. Thanks in advance.",Cancellation Request
43,Can you add bulk export functionality to the browser extension? Let me know what you need from me.,Feature Request
44,Please add multi-language support for non-English users.,Feature Request
45,"I can't upload files, the progress bar gets stuck at 40%. Let me know what you need from me.",Technical Issue
46,My credit card was billed $156 but my plan only costs $12. Please refund the difference. Thanks in advance.,Billing and Payments
47,Charts fail to render when the dataset has more than 1000 rows. This is quite urgent.,Bug Report
48,"Cancel my renewal, I don't want to be charged next month.",Cancellation Request
49,Tracking says delivered but I never received the package. Let me know what you need from me.,Shipping and Delivery
50,"Please cancel order #802729, I no longer need it. This is quite urgent.",Cancellation Request
51,"I can't upload files, the progress bar gets stuck at 40%. Appreciate any update on this.",Technical Issue
52,How do I recover my account after losing access to my old email? Appreciate any update on this.,Account Access
53,Could you integrate the subscription plan with Slack for team updates? Thanks in advance.,Feature Request
54,my account settings keeps freezing every time I try to open it. Please help ASAP.,Technical Issue
55,"I was charged twice for my subscription this month, can someone check my invoice? Let me know what you need from me.",Billing and Payments
56,Please stop auto-renewal on my account starting next cycle. Appreciate any update on this.,Cancellation Request
57,The search filter in the desktop client returns results from the wrong category. Appreciate any update on this.,Bug Report
58,Video calls keep dropping after a few minutes on your dashboard. Thanks in advance.,Technical Issue
59,My credit card was billed $172 but my plan only costs $10. Please refund the difference. This is quite urgent.,Billing and Payments
60,I forgot my password and the reset email never arrives.,Account Access
61,Tracking says delivered but I never received the package. Thank you!,Shipping and Delivery
62,Can I use the checkout page on multiple devices at the same time? Please help ASAP.,Product Inquiry
63,Please consider adding keyboard shortcuts for common actions. This is quite urgent.,Feature Request
64,Clicking 'export' produces a corrupted CSV file. Thanks in advance.,Bug Report
65,What languages does your dashboard currently support? Appreciate any update on this.,Product Inquiry
66,Could you integrate my account settings with Slack for team updates? Please help ASAP.,Feature Request
67,"The package arrived damaged, several items were broken inside. This is quite urgent.",Shipping and Delivery
68,It would help to have a mobile notification setting for alerts. This is quite urgent.,Feature Request
69,I received the wrong item in my order #852787. This is quite urgent.,Shipping and Delivery
70,Is there a student discount available for your service? Thanks in advance.,Product Inquiry
71,Two-factor authentication code never gets sent to my phone. Thank you!,Account Access
72,I can't log in even though I'm entering the correct credentials. Please help ASAP.,Account Access
73,There's a glitch where duplicate notifications get sent for one event. Thank you!,Bug Report
